EID_100001, Durant, Henriette, (024) 777 588 511, henriette.durant@heig-vd.ch, FEMALE, EC, Professeur
EID_100023, Bauer, Carole, (024) 777 237 353, carole.bauer@heig-vd.ch, FEMALE, TIN, Etudiant
EID_100024, Bauer, Julien, (024) 777 173 637, julien.bauer@heig-vd.ch, MALE, HEG, Etudiant
EID_100025, Simpson, Fabrice, (024) 777 159 527, fabrice.simpson@heig-vd.ch, MALE, TIN, Administratif
EID_100026, Smith, Carole, (024) 777 506 883, carole.smith@heig-vd.ch, FEMALE, EC, Administratif
EID_100027, Belmondo, Gontran, (024) 777 834 532, gontran.belmondo@heig-vd.ch, MALE, EC, Professeur
EID_100028, Clément, Anne, (024) 777 532 861, anne.clement@heig-vd.ch, FEMALE, TIC, Administratif
EID_100029, Dupont, Carole, (024) 777 286 172, carole.dupont@heig-vd.ch, FEMALE, HEG, Etudiant
EID_100030, De Villiers, Guillaume, (024) 777 887 307, guillaume.devilliers@heig-vd.ch, MALE, EC, Administratif
EID_100031, Dupond, Dorothé, (024) 777 625 398, dorothe.dupond@heig-vd.ch, FEMALE, TIC, Professeur
EID_100032, Belmondo, Frédéric, (024) 777 215 560, frederic.belmondo@heig-vd.ch, MALE, DEPG, Professeur
EID_100033, Bauer, Christine, (024) 777 640 186, christine.bauer@heig-vd.ch, FEMALE, TIC, Etudiant
EID_100034, Smith, Georgette, (024) 777 398 832, georgette.smith@heig-vd.ch, FEMALE, HEG, Assistant
EID_100035, De Villiers, Guillaume, (024) 777 561 776, guillaume.devilliers@heig-vd.ch, MALE, HEG, Administratif
EID_100036, Clément, Emilie, (024) 777 402 876, emilie.clement@heig-vd.ch, FEMALE, DEPG, Professeur
EID_100037, Smith, Danièle, (024) 777 326 664, daniele.smith@heig-vd.ch, FEMALE, DEPG, Etudiant
EID_100038, Simpson, Emil, (024) 777 770 627, emil.simpson@heig-vd.ch, MALE, EC, Etudiant
EID_100039, Belmondo, Marc, (024) 777 121 412, marc.belmondo@heig-vd.ch, MALE, HEG, Etudiant
EID_100040, Simpson, Gilles, (024) 777 489 556, gilles.simpson@heig-vd.ch, MALE, DEPG, Assistant
EID_100041, Dupond, Frédéric, (024) 777 412 169, frederic.dupond@heig-vd.ch, MALE, TIC, Etudiant
EID_100042, Dupont, Dylan, (024) 777 698 337, dylan.dupont@heig-vd.ch, MALE, HEG, Professeur
EID_100043, Dupond, Bryan, (024) 777 201 166, bryan.dupond@heig-vd.ch, MALE, TIN, Assistant
EID_100044, Delon, Bernadette, (024) 777 706 792, bernadette.delon@heig-vd.ch, FEMALE, HEG, Administratif
EID_100045, Dupond, Faustine, (024) 777 587 789, faustine.dupond@heig-vd.ch, FEMALE, HEG, Professeur
EID_100046, Marchand, Emil, (024) 777 137 840, emil.marchand@heig-vd.ch, MALE, TIC, Professeur
EID_100047, Marchand, Henriette, (024) 777 878 230, henriette.marchand@heig-vd.ch, FEMALE, COMEM, Assistant
EID_100048, Dupont, Christine, (024) 777 195 245, christine.dupont@heig-vd.ch, FEMALE, TIN, Etudiant
EID_100049, Dupond, Irène, (024) 777 860 732, irene.dupond@heig-vd.ch, FEMALE, TIN, Assistant
EID_100050, Dupont, Dylan, (024) 777 563 155, dylan.dupont@heig-vd.ch, MALE, DEPG, Assistant
EID_100051, Dupond, Luc, (024) 777 544 134, luc.dupond@heig-vd.ch, MALE, TIN, Etudiant
EID_100052, Marchand, Faustine, (024) 777 604 150, faustine.marchand@heig-vd.ch, FEMALE, TIC, Assistant
EID_100053, Clément, Charles, (024) 777 711 494, charles.clement@heig-vd.ch, MALE, COMEM, Etudiant
EID_100054, Smith, Julie, (024) 777 483 296, julie.smith@heig-vd.ch, FEMALE, TIC, Assistant
EID_100055, Smith, Irène, (024) 777 783 769, irene.smith@heig-vd.ch, FEMALE, EC, Assistant
EID_100056, Simpson, Jimmy, (024) 777 421 478, jimmy.simpson@heig-vd.ch, MALE, COMEM, Assistant
EID_100057, Dupond, Gontran, (024) 777 571 175, gontran.dupond@heig-vd.ch, MALE, DEPG, Professeur
EID_100058, De Decker, Frédéric, (024) 777 524 218, frederic.dedecker@heig-vd.ch, MALE, EC, Assistant
EID_100059, Delon, Christine, (024) 777 594 766, christine.delon@heig-vd.ch, FEMALE, TIN, Professeur
EID_100060, De Villiers, Faustine, (024) 777 347 246, faustine.devilliers@heig-vd.ch, FEMALE, DEPG, Etudiant
EID_100061, De Decker, Faustine, (024) 777 721 301, faustine.dedecker@heig-vd.ch, FEMALE, DEPG, Assistant
EID_100062, De Villiers, Brigitte, (024) 777 603 424, brigitte.devilliers@heig-vd.ch, FEMALE, TIC, Etudiant
EID_100063, De Villiers, Henri, (024) 777 202 221, henri.devilliers@heig-vd.ch, MALE, TIN, Etudiant
EID_100064, Bauer, Dylan, (024) 777 731 531, dylan.bauer@heig-vd.ch, MALE, HEG, Etudiant
EID_100065, Dupont, Dorothé, (024) 777 720 456, dorothe.dupont@heig-vd.ch, FEMALE, COMEM, Professeur
EID_100066, Durant, Fabrice, (024) 777 279 108, fabrice.durant@heig-vd.ch, MALE, TIC, Professeur
EID_100067, Simpson, Frédéric, (024) 777 679 137, frederic.simpson@heig-vd.ch, MALE, COMEM, Etudiant
EID_100068, Dupond, Georgette, (024) 777 731 378, georgette.dupond@heig-vd.ch, FEMALE, EC, Etudiant
EID_100069, Delon, Faustine, (024) 777 256 710, faustine.delon@heig-vd.ch, FEMALE, TIC, Administratif
EID_100070, Bauer, Dorothé, (024) 777 728 712, dorothe.bauer@heig-vd.ch, FEMALE, TIC, Etudiant
EID_100071, Dupond, Cédric, (024) 777 167 224, cedric.dupond@heig-vd.ch, MALE, EC, Administratif
EID_100072, Simpson, Bernadette, (024) 777 717 846, bernadette.simpson@heig-vd.ch, FEMALE, TIC, Assistant
EID_100073, Dupont, Carine, (024) 777 263 764, carine.dupont@heig-vd.ch, FEMALE, TIC, Professeur
EID_100074, Clément, Emil, (024) 777 108 599, emil.clement@heig-vd.ch, MALE, COMEM, Assistant
EID_100075, De Decker, Edgar, (024) 777 253 206, edgar.dedecker@heig-vd.ch, MALE, HEG, Administratif
EID_100076, Durant, Aurore, (024) 777 424 367, aurore.durant@heig-vd.ch, FEMALE, HEG, Administratif
EID_100077, De Villiers, Cédric, (024) 777 476 751, cedric.devilliers@heig-vd.ch, MALE, COMEM, Administratif
EID_100078, De Villiers, Charles, (024) 777 594 507, charles.devilliers@heig-vd.ch, MALE, COMEM, Etudiant
EID_100079, De Villiers, Lucien, (024) 777 542 794, lucien.devilliers@heig-vd.ch, MALE, TIN, Professeur
EID_100080, De Decker, Fabrice, (024) 777 387 448, fabrice.dedecker@heig-vd.ch, MALE, DEPG, Administratif
EID_100081, Smith, Bernard, (024) 777 721 695, bernard.smith@heig-vd.ch, MALE, EC, Administratif
EID_100082, Jones, Didier, (024) 777 207 236, didier.jones@heig-vd.ch, MALE, HEG, Professeur
EID_100083, Jones, Didier, (024) 777 600 553, didier.jones@heig-vd.ch, MALE, TIC, Administratif
EID_100084, De Decker, Gontran, (024) 777 314 196, gontran.dedecker@heig-vd.ch, MALE, TIC, Administratif
EID_100085, Simpson, Henri, (024) 777 501 644, henri.simpson@heig-vd.ch, MALE, DEPG, Assistant
EID_100086, Simpson, Luc, (024) 777 262 711, luc.simpson@heig-vd.ch, MALE, EC, Administratif
EID_100087, Bauer, Guillaume, (024) 777 475 642, guillaume.bauer@heig-vd.ch, MALE, DEPG, Administratif
EID_100088, Delon, Henriette, (024) 777 617 756, henriette.delon@heig-vd.ch, FEMALE, TIN, Etudiant
EID_100089, Marchand, Lucien, (024) 777 503 470, lucien.marchand@heig-vd.ch, MALE, TIN, Assistant
EID_100090, De Decker, Gilles, (024) 777 432 317, gilles.dedecker@heig-vd.ch, MALE, HEG, Professeur
EID_100091, Dupont, Irène, (024) 777 469 656, irene.dupont@heig-vd.ch, FEMALE, TIC, Etudiant
EID_100092, Durant, Luc, (024) 777 230 575, luc.durant@heig-vd.ch, MALE, EC, Administratif
EID_100093, De Villiers, Fabrice, (024) 777 478 897, fabrice.devilliers@heig-vd.ch, MALE, EC, Administratif
EID_100094, De Decker, Henriette, (024) 777 667 444, henriette.dedecker@heig-vd.ch, FEMALE, DEPG, Administratif
EID_100095, Simpson, Emilie, (024) 777 463 440, emilie.simpson@heig-vd.ch, FEMALE, TIC, Administratif
EID_100096, Clément, Georgette, (024) 777 322 512, georgette.clement@heig-vd.ch, FEMALE, DEPG, Etudiant
EID_100097, De Villiers, Fabrice, (024) 777 570 259, fabrice.devilliers@heig-vd.ch, MALE, TIN, Professeur
EID_100098, Dupont, Aurore, (024) 777 758 657, aurore.dupont@heig-vd.ch, FEMALE, EC, Administratif
EID_100099, Clément, Marc, (024) 777 851 409, marc.clement@heig-vd.ch, MALE, EC, Professeur
EID_100100, Jones, Julien, (024) 777 782 462, julien.jones@heig-vd.ch, MALE, TIN, Assistant
EID_100101, Smith, Anne, (024) 777 324 805, anne.smith@heig-vd.ch, FEMALE, DEPG, Assistant
EID_100102, Dupont, Lucien, (024) 777 303 748, lucien.dupont@heig-vd.ch, MALE, COMEM, Etudiant
EID_100103, Bauer, Bryan, (024) 777 759 460, bryan.bauer@heig-vd.ch, MALE, DEPG, Etudiant
EID_100104, Dupont, Danièle, (024) 777 797 345, daniele.dupont@heig-vd.ch, FEMALE, COMEM, Administratif
EID_100105, Smith, Frédéric, (024) 777 186 842, frederic.smith@heig-vd.ch, MALE, TIC, Professeur
EID_100106, Smith, Bernard, (024) 777 543 698, bernard.smith@heig-vd.ch, MALE, TIC, Administratif
EID_100107, De Decker, Henriette, (024) 777 136 778, henriette.dedecker@heig-vd.ch, FEMALE, DEPG, Assistant
EID_100108, Dupond, Carine, (024) 777 853 558, carine.dupond@heig-vd.ch, FEMALE, HEG, Professeur
EID_100109, De Villiers, Luc, (024) 777 229 292, luc.devilliers@heig-vd.ch, MALE, EC, Professeur
EID_100110, Delon, Carole, (024) 777 647 404, carole.delon@heig-vd.ch, FEMALE, EC, Administratif
EID_100111, Jones, Gilles, (024) 777 629 171, gilles.jones@heig-vd.ch, MALE, TIC, Etudiant
EID_100112, Simpson, Gilles, (024) 777 661 502, gilles.simpson@heig-vd.ch, MALE, COMEM, Professeur
EID_100113, De Villiers, Guillaume, (024) 777 141 859, guillaume.devilliers@heig-vd.ch, MALE, EC, Etudiant
EID_100114, De Villiers, Fabienne, (024) 777 501 746, fabienne.devilliers@heig-vd.ch, FEMALE, DEPG, Administratif
EID_100115, De Villiers, Anne, (024) 777 261 287, anne.devilliers@heig-vd.ch, FEMALE, COMEM, Administratif
EID_100116, De Villiers, Lucien, (024) 777 714 395, lucien.devilliers@heig-vd.ch, MALE, TIN, Assistant
EID_100117, Clément, Faustine, (024) 777 397 431, faustine.clement@heig-vd.ch, FEMALE, TIN, Assistant
EID_100118, Marchand, Julien, (024) 777 300 326, julien.marchand@heig-vd.ch, MALE, COMEM, Professeur
EID_100119, Durant, Julien, (024) 777 791 391, julien.durant@heig-vd.ch, MALE, DEPG, Assistant
EID_100120, Simpson, Danièle, (024) 777 267 253, daniele.simpson@heig-vd.ch, FEMALE, DEPG, Assistant
EID_100121, Bauer, Irène, (024) 777 615 504, irene.bauer@heig-vd.ch, FEMALE, TIC, Assistant
EID_100122, Dupont, Dylan, (024) 777 270 700, dylan.dupont@heig-vd.ch, MALE, TIC, Professeur
EID_100123, Simpson, Aurore, (024) 777 670 831, aurore.simpson@heig-vd.ch, FEMALE, EC, Professeur
EID_100124, Belmondo, Albert, (024) 777 892 849, albert.belmondo@heig-vd.ch, MALE, TIC, Etudiant
EID_100125, Marchand, Georgette, (024) 777 876 616, georgette.marchand@heig-vd.ch, FEMALE, EC, Assistant
EID_100126, Clément, Dylan, (024) 777 458 418, dylan.clement@heig-vd.ch, MALE, EC, Professeur
EID_100127, Dupond, Emilie, (024) 777 358 789, emilie.dupond@heig-vd.ch, FEMALE, TIN, Etudiant
EID_100128, Smith, Dylan, (024) 777 216 512, dylan.smith@heig-vd.ch, MALE, HEG, Professeur
EID_100129, Bauer, Bernadette, (024) 777 259 891, bernadette.bauer@heig-vd.ch, FEMALE, EC, Professeur
EID_100130, Durant, Bernadette, (024) 777 683 244, bernadette.durant@heig-vd.ch, FEMALE, COMEM, Assistant
EID_100131, Dupont, Emma, (024) 777 316 525, emma.dupont@heig-vd.ch, FEMALE, COMEM, Professeur
EID_100132, Delon, Frédéric, (024) 777 736 886, frederic.delon@heig-vd.ch, MALE, DEPG, Assistant
EID_100133, Delon, Carole, (024) 777 173 899, carole.delon@heig-vd.ch, FEMALE, TIN, Assistant
EID_100134, Clément, Fabien, (024) 777 510 150, fabien.clement@heig-vd.ch, MALE, DEPG, Administratif
EID_100135, Bauer, Carole, (024) 777 602 144, carole.bauer@heig-vd.ch, FEMALE, HEG, Administratif
EID_100136, Durant, Amélie, (024) 777 419 170, amelie.durant@heig-vd.ch, FEMALE, EC, Assistant
EID_100137, De Villiers, Lucien, (024) 777 852 563, lucien.devilliers@heig-vd.ch, MALE, TIC, Administratif
EID_100138, Clément, Fabrice, (024) 777 835 688, fabrice.clement@heig-vd.ch, MALE, HEG, Assistant
EID_100139, Clément, Julie, (024) 777 115 265, julie.clement@heig-vd.ch, FEMALE, HEG, Professeur
EID_100140, Bauer, Aurore, (024) 777 841 776, aurore.bauer@heig-vd.ch, FEMALE, DEPG, Administratif
EID_100141, Smith, Luc, (024) 777 308 665, luc.smith@heig-vd.ch, MALE, EC, Etudiant
EID_100142, Dupond, Fabrice, (024) 777 345 743, fabrice.dupond@heig-vd.ch, MALE, DEPG, Administratif
EID_100143, De Decker, Amélie, (024) 777 860 545, amelie.dedecker@heig-vd.ch, FEMALE, DEPG, Assistant
EID_100144, Jones, Henriette, (024) 777 765 889, henriette.jones@heig-vd.ch, FEMALE, EC, Professeur
EID_100145, De Villiers, Bernadette, (024) 777 524 371, bernadette.devilliers@heig-vd.ch, FEMALE, TIN, Etudiant
EID_100146, Durant, Dorothé, (024) 777 239 800, dorothe.durant@heig-vd.ch, FEMALE, HEG, Assistant
EID_100147, Durant, Aurore, (024) 777 894 519, aurore.durant@heig-vd.ch, FEMALE, TIN, Professeur
EID_100148, De Decker, Gontran, (024) 777 869 187, gontran.dedecker@heig-vd.ch, MALE, TIC, Assistant
EID_100149, Dupond, Anne, (024) 777 589 187, anne.dupond@heig-vd.ch, FEMALE, TIC, Assistant
EID_100150, Clément, Danièle, (024) 777 583 612, daniele.clement@heig-vd.ch, FEMALE, TIN, Professeur
EID_100151, Durant, Marc, (024) 777 112 137, marc.durant@heig-vd.ch, MALE, COMEM, Professeur
EID_100152, Delon, Amélie, (024) 777 629 858, amelie.delon@heig-vd.ch, FEMALE, DEPG, Assistant
EID_100153, Jones, Christine, (024) 777 298 176, christine.jones@heig-vd.ch, FEMALE, TIC, Etudiant
EID_100154, Delon, Henri, (024) 777 574 842, henri.delon@heig-vd.ch, MALE, HEG, Professeur
EID_100155, Dupont, Bernadette, (024) 777 823 229, bernadette.dupont@heig-vd.ch, FEMALE, COMEM, Assistant
EID_100156, Jones, Gontran, (024) 777 510 589, gontran.jones@heig-vd.ch, MALE, COMEM, Etudiant
EID_100157, Smith, Edgar, (024) 777 179 589, edgar.smith@heig-vd.ch, MALE, EC, Assistant
EID_100158, Dupond, Georgette, (024) 777 112 764, georgette.dupond@heig-vd.ch, FEMALE, HEG, Administratif
EID_100159, Clément, Brigitte, (024) 777 345 809, brigitte.clement@heig-vd.ch, FEMALE, COMEM, Professeur
EID_100160, De Decker, Dylan, (024) 777 279 641, dylan.dedecker@heig-vd.ch, MALE, DEPG, Assistant
EID_100161, Clément, Carine, (024) 777 145 630, carine.clement@heig-vd.ch, FEMALE, COMEM, Professeur
EID_100162, Durant, Carole, (024) 777 117 338, carole.durant@heig-vd.ch, FEMALE, EC, Professeur
EID_100163, Clément, Faustine, (024) 777 590 330, faustine.clement@heig-vd.ch, FEMALE, HEG, Assistant
EID_100164, Smith, Aurore, (024) 777 340 779, aurore.smith@heig-vd.ch, FEMALE, TIN, Etudiant
EID_100165, Marchand, Henriette, (024) 777 113 394, henriette.marchand@heig-vd.ch, FEMALE, TIC, Assistant
EID_100166, Smith, Bernard, (024) 777 140 204, bernard.smith@heig-vd.ch, MALE, HEG, Administratif
EID_100167, Marchand, Edgar, (024) 777 828 617, edgar.marchand@heig-vd.ch, MALE, EC, Assistant
EID_100168, De Decker, Anne, (024) 777 216 447, anne.dedecker@heig-vd.ch, FEMALE, COMEM, Administratif
EID_100169, Smith, Henri, (024) 777 100 266, henri.smith@heig-vd.ch, MALE, DEPG, Assistant
EID_100170, Marchand, Frédéric, (024) 777 560 185, frederic.marchand@heig-vd.ch, MALE, TIN, Etudiant
EID_100171, Dupont, Danièle, (024) 777 711 179, daniele.dupont@heig-vd.ch, FEMALE, EC, Administratif
EID_100172, Dupont, Bryan, (024) 777 312 168, bryan.dupont@heig-vd.ch, MALE, COMEM, Assistant
EID_100173, Bauer, Fabienne, (024) 777 464 582, fabienne.bauer@heig-vd.ch, FEMALE, COMEM, Etudiant
EID_100174, Clément, Faustine, (024) 777 152 823, faustine.clement@heig-vd.ch, FEMALE, HEG, Assistant
EID_100175, Durant, Danièle, (024) 777 618 142, daniele.durant@heig-vd.ch, FEMALE, TIN, Assistant
EID_100176, Durant, Fabien, (024) 777 306 325, fabien.durant@heig-vd.ch, MALE, TIC, Assistant
EID_100177, Smith, Bernadette, (024) 777 624 756, bernadette.smith@heig-vd.ch, FEMALE, HEG, Assistant
EID_100178, Dupond, Christine, (024) 777 502 652, christine.dupond@heig-vd.ch, FEMALE, EC, Assistant
EID_100179, Smith, Henri, (024) 777 411 192, henri.smith@heig-vd.ch, MALE, TIC, Assistant
EID_100180, Bauer, Fabien, (024) 777 237 620, fabien.bauer@heig-vd.ch, MALE, COMEM, Administratif
EID_100181, Delon, Danièle, (024) 777 502 706, daniele.delon@heig-vd.ch, FEMALE, EC, Professeur
EID_100182, De Villiers, Henri, (024) 777 165 657, henri.devilliers@heig-vd.ch, MALE, TIN, Assistant
EID_100183, Dupond, Irène, (024) 777 425 183, irene.dupond@heig-vd.ch, FEMALE, TIC, Etudiant
EID_100184, Belmondo, Emma, (024) 777 746 621, emma.belmondo@heig-vd.ch, FEMALE, HEG, Professeur
EID_100185, Durant, Fabienne, (024) 777 589 587, fabienne.durant@heig-vd.ch, FEMALE, DEPG, Administratif
EID_100186, Jones, Emma, (024) 777 526 646, emma.jones@heig-vd.ch, FEMALE, TIN, Administratif
EID_100187, De Decker, Henriette, (024) 777 500 187, henriette.dedecker@heig-vd.ch, FEMALE, HEG, Professeur
EID_100188, Simpson, Charles, (024) 777 394 309, charles.simpson@heig-vd.ch, MALE, EC, Etudiant
EID_100189, Bauer, Frédéric, (024) 777 338 831, frederic.bauer@heig-vd.ch, MALE, EC, Professeur
EID_100190, Dupont, Emilie, (024) 777 691 165, emilie.dupont@heig-vd.ch, FEMALE, HEG, Professeur
EID_100191, Dupond, Edgar, (024) 777 745 370, edgar.dupond@heig-vd.ch, MALE, DEPG, Administratif
EID_100192, Marchand, Georgette, (024) 777 705 217, georgette.marchand@heig-vd.ch, FEMALE, EC, Administratif
EID_100193, Jones, Dorothé, (024) 777 245 787, dorothe.jones@heig-vd.ch, FEMALE, TIN, Professeur
EID_100194, De Decker, Gilles, (024) 777 139 631, gilles.dedecker@heig-vd.ch, MALE, HEG, Administratif
EID_100195, Durant, Georgette, (024) 777 852 727, georgette.durant@heig-vd.ch, FEMALE, COMEM, Administratif
EID_100196, Simpson, Frédéric, (024) 777 620 367, frederic.simpson@heig-vd.ch, MALE, TIN, Administratif
EID_100197, Marchand, Edgar, (024) 777 307 217, edgar.marchand@heig-vd.ch, MALE, HEG, Etudiant
EID_100198, Jones, Henriette, (024) 777 789 812, henriette.jones@heig-vd.ch, FEMALE, TIN, Administratif
EID_100199, Delon, Guillaume, (024) 777 604 512, guillaume.delon@heig-vd.ch, MALE, DEPG, Etudiant
EID_100200, Jones, Fabien, (024) 777 299 667, fabien.jones@heig-vd.ch, MALE, TIN, Professeur
EID_100201, Durant, Luc, (024) 777 746 156, luc.durant@heig-vd.ch, MALE, EC, Professeur
EID_100202, Clément, Jimmy, (024) 777 692 545, jimmy.clement@heig-vd.ch, MALE, TIC, Etudiant
EID_100203, Dupond, Danièle, (024) 777 129 560, daniele.dupond@heig-vd.ch, FEMALE, EC, Etudiant
EID_100204, Dupond, Henri, (024) 777 426 589, henri.dupond@heig-vd.ch, MALE, COMEM, Administratif
EID_100205, Belmondo, Carole, (024) 777 186 715, carole.belmondo@heig-vd.ch, FEMALE, EC, Administratif
EID_100206, Bauer, Emma, (024) 777 422 228, emma.bauer@heig-vd.ch, FEMALE, HEG, Administratif
EID_100207, Jones, Bryan, (024) 777 603 259, bryan.jones@heig-vd.ch, MALE, HEG, Professeur
EID_100208, Belmondo, Georgette, (024) 777 536 557, georgette.belmondo@heig-vd.ch, FEMALE, TIN, Assistant
EID_100209, Bauer, Evelyne, (024) 777 812 862, evelyne.bauer@heig-vd.ch, FEMALE, HEG, Administratif
EID_100210, Simpson, Guillaume, (024) 777 563 313, guillaume.simpson@heig-vd.ch, MALE, TIN, Administratif
EID_100211, De Villiers, Julie, (024) 777 751 258, julie.devilliers@heig-vd.ch, FEMALE, COMEM, Etudiant
EID_100212, Dupond, Jimmy, (024) 777 486 581, jimmy.dupond@heig-vd.ch, MALE, TIN, Etudiant
EID_100213, Smith, Amélie, (024) 777 489 608, amelie.smith@heig-vd.ch, FEMALE, DEPG, Administratif
EID_100214, Bauer, Georgette, (024) 777 689 413, georgette.bauer@heig-vd.ch, FEMALE, COMEM, Assistant
EID_100215, Smith, Fabien, (024) 777 628 887, fabien.smith@heig-vd.ch, MALE, DEPG, Assistant
EID_100216, Clément, Faustine, (024) 777 883 613, faustine.clement@heig-vd.ch, FEMALE, DEPG, Professeur
EID_100217, Marchand, Georgette, (024) 777 892 620, georgette.marchand@heig-vd.ch, FEMALE, TIC, Assistant
EID_100218, Dupond, Fabien, (024) 777 301 311, fabien.dupond@heig-vd.ch, MALE, COMEM, Assistant
EID_100219, Smith, Julien, (024) 777 750 748, julien.smith@heig-vd.ch, MALE, TIC, Assistant
EID_100220, Dupont, Luc, (024) 777 443 603, luc.dupont@heig-vd.ch, MALE, TIC, Etudiant
EID_100221, Dupond, Henri, (024) 777 339 854, henri.dupond@heig-vd.ch, MALE, COMEM, Administratif
EID_100222, Simpson, Edgar, (024) 777 559 853, edgar.simpson@heig-vd.ch, MALE, DEPG, Etudiant
EID_100223, Simpson, Henriette, (024) 777 302 397, henriette.simpson@heig-vd.ch, FEMALE, DEPG, Assistant
EID_100224, Belmondo, Anne, (024) 777 701 272, anne.belmondo@heig-vd.ch, FEMALE, TIN, Etudiant
EID_100225, Durant, Guillaume, (024) 777 601 728, guillaume.durant@heig-vd.ch, MALE, DEPG, Etudiant
EID_100226, Jones, Anne, (024) 777 437 161, anne.jones@heig-vd.ch, FEMALE, TIC, Etudiant
EID_100227, Dupond, Gilles, (024) 777 720 829, gilles.dupond@heig-vd.ch, MALE, TIC, Administratif
EID_100228, Durant, Fabien, (024) 777 187 504, fabien.durant@heig-vd.ch, MALE, DEPG, Etudiant
EID_100229, De Decker, Didier, (024) 777 171 272, didier.dedecker@heig-vd.ch, MALE, EC, Professeur
EID_100230, Jones, Emil, (024) 777 879 635, emil.jones@heig-vd.ch, MALE, TIN, Administratif
EID_100231, De Villiers, Julien, (024) 777 137 529, julien.devilliers@heig-vd.ch, MALE, COMEM, Administratif
EID_100232, Delon, Frédéric, (024) 777 599 242, frederic.delon@heig-vd.ch, MALE, COMEM, Professeur
EID_100233, De Decker, Bryan, (024) 777 210 192, bryan.dedecker@heig-vd.ch, MALE, COMEM, Administratif
EID_100234, Delon, Gilles, (024) 777 448 825, gilles.delon@heig-vd.ch, MALE, HEG, Professeur
EID_100235, Delon, Anne, (024) 777 695 376, anne.delon@heig-vd.ch, FEMALE, COMEM, Professeur
EID_100236, De Villiers, Albert, (024) 777 739 189, albert.devilliers@heig-vd.ch, MALE, EC, Assistant
EID_100237, Durant, Edgar, (024) 777 141 418, edgar.durant@heig-vd.ch, MALE, DEPG, Professeur
EID_100238, Dupont, Amélie, (024) 777 274 218, amelie.dupont@heig-vd.ch, FEMALE, TIC, Administratif
EID_100239, Durant, Faustine, (024) 777 688 479, faustine.durant@heig-vd.ch, FEMALE, COMEM, Assistant
EID_100240, Dupond, Edgar, (024) 777 740 177, edgar.dupond@heig-vd.ch, MALE, TIC, Administratif
EID_100241, De Decker, Fabrice, (024) 777 346 790, fabrice.dedecker@heig-vd.ch, MALE, EC, Administratif
EID_100242, De Villiers, Bernard, (024) 777 381 773, bernard.devilliers@heig-vd.ch, MALE, TIN, Professeur
EID_100243, Jones, Albert, (024) 777 357 127, albert.jones@heig-vd.ch, MALE, COMEM, Administratif
EID_100244, Marchand, Guillaume, (024) 777 301 423, guillaume.marchand@heig-vd.ch, MALE, HEG, Professeur
EID_100245, Durant, Emma, (024) 777 521 299, emma.durant@heig-vd.ch, FEMALE, EC, Administratif
EID_100246, Dupond, Faustine, (024) 777 513 136, faustine.dupond@heig-vd.ch, FEMALE, EC, Etudiant
